/home/rifat/anaconda3/envs/pyan/lib/python3.10/site-packages/pyannote/audio/core/io.py:43: UserWarning: torchaudio._backend.set_audio_backend has been deprecated. With dispatcher enabled, this function is no-op. You can remove the function call.
  torchaudio.set_audio_backend("soundfile")
/home/rifat/anaconda3/envs/pyan/lib/python3.10/site-packages/pyannote/audio/pipelines/speaker_verification.py:43: UserWarning: torchaudio._backend.get_audio_backend has been deprecated. With dispatcher enabled, this function is no-op. You can remove the function call.
  backend = torchaudio.get_audio_backend()
/home/rifat/anaconda3/envs/pyan/lib/python3.10/site-packages/pyannote/audio/pipelines/speaker_verification.py:45: UserWarning: Module 'speechbrain.pretrained' was deprecated, redirecting to 'speechbrain.inference'. Please update your script. This is a change from SpeechBrain 1.0. See: https://github.com/speechbrain/speechbrain/releases/tag/v1.0.0
  from speechbrain.pretrained import (
/home/rifat/anaconda3/envs/pyan/lib/python3.10/site-packages/pyannote/audio/pipelines/speaker_verification.py:53: UserWarning: torchaudio._backend.set_audio_backend has been deprecated. With dispatcher enabled, this function is no-op. You can remove the function call.
  torchaudio.set_audio_backend(backend)
/home/rifat/anaconda3/envs/pyan/lib/python3.10/site-packages/pyannote/audio/tasks/segmentation/mixins.py:37: UserWarning: `torchaudio.backend.common.AudioMetaData` has been moved to `torchaudio.AudioMetaData`. Please update the import path.
  from torchaudio.backend.common import AudioMetaData
Using CUDA for inference.
/home/rifat/anaconda3/envs/pyan/lib/python3.10/site-packages/pyannote/audio/utils/reproducibility.py:74: ReproducibilityWarning: TensorFloat-32 (TF32) has been disabled as it might lead to reproducibility issues and lower accuracy.
It can be re-enabled by calling
   >>> import torch
   >>> torch.backends.cuda.matmul.allow_tf32 = True
   >>> torch.backends.cudnn.allow_tf32 = True
See https://github.com/pyannote/pyannote-audio/issues/1370 for more details.

  warnings.warn(
segmentation         ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
speaker_counting     ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
embeddings           ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:16
discrete_diarization ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 100% 0:00:00
CSV written to: /media/rifat/2TB1/others/aniksaha/doctalk/audio-analysis/diarization/examples/dummy/prediction/pyan/annotation/test_1.csv
Detected 7 speakers.
Segments:
00:00:00 00:00:00  5
00:00:01 00:00:07  6
00:00:02 00:00:03  1
00:00:07 00:00:09  4
00:00:10 00:00:10  6
00:00:10 00:00:10  1
00:00:10 00:00:10  6
00:00:10 00:00:12  4
00:00:13 00:00:20  4
00:00:20 00:00:20  1
00:00:20 00:00:21  2
00:00:21 00:00:29  2
00:00:29 00:00:30  7
00:00:30 00:00:30  2
00:00:30 00:00:31  5
00:00:32 00:00:36  5
00:00:37 00:00:40  5
00:00:40 00:00:40  5
00:00:42 00:00:42  5
00:00:43 00:00:44  5
00:00:44 00:00:46  7
00:00:46 00:00:47  5
00:00:47 00:00:48  7
00:00:49 00:00:50  5
00:00:50 00:00:52  5
00:00:53 00:00:53  7
00:00:53 00:00:53  5
00:00:53 00:00:53  7
00:00:53 00:00:55  5
00:00:56 00:00:56  7
00:00:56 00:00:58  5
00:00:58 00:00:58  7
00:01:00 00:01:01  5
00:01:02 00:01:03  5
00:01:04 00:01:09  7
00:01:09 00:01:11  5
00:01:11 00:01:13  7
00:01:15 00:01:16  7
00:01:17 00:01:17  5
00:01:18 00:01:21  5
00:01:21 00:01:23  7
00:01:23 00:01:26  5
00:01:26 00:01:28  5
00:01:29 00:01:30  5
00:01:32 00:01:32  5
00:01:33 00:01:35  7
00:01:35 00:01:36  7
00:01:37 00:01:38  7
00:01:38 00:01:39  7
00:01:39 00:01:41  5
00:01:41 00:01:41  7
00:01:41 00:01:42  5
00:01:42 00:01:43  5
00:01:44 00:01:45  7
00:01:45 00:01:46  7
00:01:46 00:01:48  7
00:01:48 00:01:50  7
00:01:50 00:01:52  7
00:01:52 00:01:53  5
00:01:54 00:01:55  7
00:01:56 00:01:59  7
00:01:59 00:02:01  7
00:02:01 00:02:03  5
00:02:03 00:02:04  7
00:02:04 00:02:11  5
00:02:20 00:02:23  7
00:02:23 00:02:23  7
00:02:27 00:02:27  6
00:02:28 00:02:32  5
00:02:32 00:02:33  6
00:02:33 00:02:33  6
00:02:33 00:02:33  5
00:02:33 00:02:34  6
00:02:34 00:02:36  5
00:02:36 00:02:37  4
00:02:38 00:02:42  6
00:02:42 00:02:46  6
00:02:46 00:02:48  6
00:02:49 00:02:52  6
00:02:52 00:02:56  7
00:02:56 00:02:56  7
00:02:57 00:02:59  7
00:02:59 00:03:01  7
00:03:02 00:03:02  5
00:03:02 00:03:03  7
00:03:04 00:03:05  1
00:03:06 00:03:13  1
00:03:18 00:03:20  7
00:03:20 00:03:20  4
00:03:21 00:03:22  4
00:03:22 00:03:23  4
00:03:23 00:03:25  4
00:03:26 00:03:27  4
00:03:27 00:03:30  5
00:03:30 00:03:30  5
00:03:30 00:03:32  1
00:03:32 00:03:32  2
00:03:36 00:03:50  5
00:03:50 00:03:52  5
00:03:52 00:03:53  5
00:03:54 00:03:55  5
00:03:58 00:03:59  5
00:03:59 00:03:59  2
00:03:59 00:04:00  5
00:04:00 00:04:00  2
00:04:00 00:04:00  5
00:04:00 00:04:00  2
00:04:00 00:04:00  5
00:04:00 00:04:05  2
00:04:05 00:04:07  7
00:04:07 00:04:10  2
00:04:10 00:04:12  2
00:04:14 00:04:15  6
00:04:16 00:04:23  6
00:04:20 00:04:21  7
00:04:24 00:04:25  7
00:04:26 00:04:27  7
00:04:28 00:04:31  7
00:04:31 00:04:34  5
00:04:35 00:04:42  5
00:04:42 00:04:46  5
00:04:46 00:04:58  7
00:04:58 00:04:59  7
00:04:59 00:05:04  7
00:05:04 00:05:05  6
00:05:06 00:05:07  6
00:05:09 00:05:09  6
00:05:14 00:05:16  3
00:05:16 00:05:18  3
00:05:19 00:05:20  5
00:05:20 00:05:26  3
00:05:27 00:05:29  4
00:05:30 00:05:31  7
00:05:32 00:05:33  2
00:05:34 00:05:34  7
00:05:36 00:05:37  5
00:05:38 00:05:39  5
00:05:40 00:05:40  7
00:05:40 00:05:42  7
00:05:43 00:05:43  5
00:05:43 00:05:44  2
00:05:45 00:05:46  7
00:05:47 00:05:48  7
00:05:48 00:05:51  7
00:05:52 00:05:53  7
00:05:53 00:05:53  5
00:05:53 00:05:53  2
00:05:53 00:05:53  5
00:05:53 00:05:53  2
00:05:53 00:05:53  5
00:05:53 00:05:53  2
00:05:54 00:05:58  7
00:05:59 00:06:01  7
00:06:01 00:06:02  5
00:06:02 00:06:02  7
00:06:03 00:06:05  7
00:06:06 00:06:07  5
00:06:07 00:06:11  7
00:06:14 00:06:16  7
00:06:17 00:06:17  7
00:06:17 00:06:18  5
00:06:19 00:06:20  5
00:06:20 00:06:21  5
00:06:22 00:06:27  7
00:06:27 00:06:33  5
00:06:33 00:06:36  6
00:06:36 00:06:45  5
00:06:45 00:06:46  7
00:06:46 00:06:47  5
00:06:48 00:06:51  5
00:06:51 00:06:53  5
00:06:55 00:06:55  7
00:06:56 00:06:59  7
00:07:00 00:07:01  4
00:07:01 00:07:02  6
00:07:03 00:07:03  6
00:07:03 00:07:03  7
00:07:10 00:07:10  6
